№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
Території та об`єкти ПЗФ загальнодержавного значення;;;;;;;
8;Гарячківська дача;заказник;ботанічний;774;Піщанський районСтавківська та Миролюбівська сільські радиРудницьке лісництво кв. кв. 10 -16 ,21-24,28,29,31,33;Крижопільський ДЛГ;Указ Президента від 21.02.02 № 167/2002
9;Гайдамацька балка;заказник;ботанічний;1217;Тростянецький район,Ободівська сільська рада,Цибулівське лісництвокв. . 28-38,43-49,55-58.;Ободівське ДЛМГ;Постанова РМ УРСР від13.02.89 р. №53
10;"Урочище ""Журавлівська дача""";заказник;ботанічний;595;Тульчинський районСуворівська сільська радаЖуравлівське лісництвокв. кв . 24-27, 36 -39поблизу с. Журавлівка;Тульчинське лісомисливське господарство;Постанова РМ УРСР від16.12.82 р. №617
11;Хмільницька дача;заказник;ботанічний;50;Хмільницький районШироко - Гребельська сільська радаХмільницьке лісництво,кв.29;Хмільницький ДЛГ;Постанова Ради Міністрів УРСР від03.08.78 р.. № 383
12;Бритавський;заказник;ботанічний;3259;Чечельницький районБритавська сільська рада Бритавське лісництво,кв.кв. 24-26,39-42,53-72,76-110;Чечельницький ДЛГ;Постанова Ради Міністрів УРСР від 02.06.90 р.№ 123
13;"Урочище ""Білянський ліс""";заказник;ботанічний;218;Ямпільський районГальжбіївська сільська радаПетрашівське лісництво, кв. 30,31,32;Ямпільський ДЛГ;Постанова Ради Міністрів УРСР від16.12.82 р.№ 617
14;"Урочище ""Криве""";заказник;ботанічний;226;Ямпільський районСеверинівська сільська радаСеверинівське лісництво,кв.27-30;Ямпільський ДЛГ;Постанова РМ УРСР від02.11.84 р. № 434
;Разом заказників ботанічних;14;;7969;;;
1;Коростовецький;заказник;ландшафтний ;370;Гайсинський район;Гайсинський ДЛГ;Указ Президента України від 21.02.02. № 167/2002
2;Володимирська дубина;заказник;ландшафтний ;133;Жмеринський район,Браїлівська сільська рада,Гніванське лісництво кв.32-35;Вінницький лісо-виробничий комплекс;Постанова Ради Міністрів УРСР від28.10.74 р. № 500
3;Грабарківський;заказник;ландшафтний ;487;Могилів - Подільський район,Юрковецька сільська рада,Юрковецьке лісництво ,кв.6-15;ДП “Могилів -Подільський ДЛГ”;Постанова Ради Міністрів УРСР від28.10.74 р. № 500
4;"Урочище ""Самчинецьке""";заказник;ландшафтний ;218;Немирівський район,Новообіходська  сільська рада,Брацлавське лісництво,кв.1-4;ДП “Тульчинське ДЛМГ”;Постанова Ради Міністрів УРСР від16.12.82 р. № 617
;Разом заказників ландшафтних;4;;1208;;;
1;Марксова дубина;заказник;лісовий;295;Немирівський район,Марківська сільська рада,Брацлавське лісництво,кв. 35-40;ДП “Тульчинське ДЛМГ”;Постанова РМ УРСР від28.10.74 р. № 500
;Разом заказників лісових;1;;295;;;
1;Буго - Деснянський;заказник;загальнозоологічний;1073;Вінницький район,Михайлівське лісництво- кв. 15-34Стрижавська с/р - кв. 15,17-21,25,26 =424,0 гаСосонська с/р -кв. 16,22-24 =198,0 гаСтадницька с/р - кв. 27-34=431,0га;Вінницьке ДЛМГ;Постанова РМ УРСР від28.10.74 р. № 500
