№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
Території та об`єкти ПЗФ загальнодержавного значення;;;;;;;
8;"""Урочища Странзул, Задня, Кедрин”";заказник;Ботанічний;510;Тячівський р-н, ДП “Мокрянське ЛМГ”, Брадульське л-во, квартал 6 (виділ 1-27, 35), квартал 29 (виділ 30, 35-44), квартал 30 (9-27), квартал 31 (виділ 1-22), квартал 32 (виділ 4, 12, 13, 33-37) (500,0 га) ДП “Брустурянське ЛМГ”, Плайське л-во, квартал 2, виділ 10, 11 (10,0 га);ДП “Мокрянське ЛМГ” ДП “Брустурянське ЛМГ”;ПРМ УРСР від 28.10.1974 р. № 500, ПРМ УРСР від 03.08.1978 р. № 383 Ріш.ОВК від 23.10.1984 р. № 253
0;Разом заказників ботаніччних:;8;;2173;;;
1;“Річанський”;заказник;Загальнозоо-логічний;2408;Іршавський р-н, ДП “Довжанське ЛМГ”, Річанське л-во, квартал 16-20, квартал 25-27, квартал 30-35, квартал 11, виділ 10-15;ДП “Довжанське ЛМГ”;ПРМ УРСР від 26.12.1985 р. № 451
2;“Тур_є-Полянський”;заказник;Загальнозоо-логічний;2163;Перечинський р-н, ДП “Перечинське ЛГ”, л-во Шипот, квартал 55-75;ДП “Перечинське ЛГ”;ПРМ УРСР від 26.12.1985 р. № 451
3;“Великодоброньський”;заказник;Загальнозоо-логічний;1736;Ужгородський, Мукачівський р-ни,  ДП “Ужгородське ЛГ”, Великодобронське л-во, квартал 1-24;ДП “Ужгородське ЛГ”;"Ріш. ОВК від 25.07.1972 р. № 243, ПРМ УРСР від 28.10.1974 р. № 500, Ріш.ОВК від 23.10.1984 р. № 253, (входить до складу РЛП ""Притисянський"")"
4;„Потік Оса”;заказник;Загально-зоологічний;500;Воловецький р-н, ДП “Воловецьке ЛГ”, Нижньоволовецьке л-во, квартал 8, 9, 12, 13, 15 ,16, 21;ДП “Воловецьке ЛГ”;Указ Президента України від 09.12.1998 р. № 1341/98
;Разом заказників загально-зоологічних;4;;6807;;;
1;“Соколові скелі”;заказник;Орнітологічний;606;Перечинський р-н, ДП “Перечинське ЛГ”. л-во Шипот, квартал 13, (виділ 1-9), квартал 14, квартал 15 (виділ 1-12), квартал 16, квартал 25, (виділ 1-7), квартал 27, (виділ 1-15);ДП ,,Перечинське ЛГ”;ПРМ УРСР від 28.10.1974 р. № 500, ПРМ УРСР від 03.08.1978 р. № 383 Ріш.ОВК від 23.10.1984 р. № 253
;Разом: заказників орнітологічних;1;;606;;;
1;“Апшинецький”;заказник;Гідрологічний;105;Рахівський р-н, ДП “Ясінянське ЛМГ”, Чорнотисянське л-во, квартал 1, виділ 1, 2, 5, 9-12, 18-21;ДП “Ясінянське ЛМГ”;Ріш. ОВК від 25.07.1972 р. № 243, ПРМ УРСР від 28.10.1974 р. № 500, Ріш.ОВК від 23.10.1984 р. № 253
;Разом: заказників гідрологічних;1;;105;;;
1;“Зачарована долина”;заказник;Геологічний;150;Іршавський р-н, ДП “Загатянське ЛГ”, Ільницьке л-во, квартал 16, виділ 1-4, 7, 12, 15, 19, 20, 26-31, квартал 17, виділ 1-5, 7-12, 16, 17, 25;"НПП ""Зачарований край""";"Ріш. ОВК від 25.07.1972 р. № 243, ПРМ УРСР від 28.10.1974 р. № 500, ПРМ УРСР від 03.08.1978 р. № 383,  Ріш.ОВК від 23.10.1984 р. № 253, (входить до складу НПП ""Зачарований край"" з вилученням)"
;Разом:;1;;150;;;
;Всього заказників загальнодержавного значення;19;;12368;;;
1;“Гора Високий камінь”;пам`ятка природи;Комплексна;22;Воловецький р-н, ДП “Воловецьке ЛГ”, Підполозське л-во квартал 14 виділ 2, 3, Нижньоворітське л-во квартал 13 виділ 6, 7, 10, 11;ДП “Воловецьке ЛГ”;Ріш. ОВК від 25.07.1972 р. № 243, Розп. РМ УРСР від 14.10.1975 № 780–р, Ріш.ОВК від 23.10.1984 р. № 253
;Разом:;1;;22;;;
1;“Гора Яворник”;пам`ятка природи;Ботанічна;100;Великоберезнянський р-н, ДП “В.Березнянське ЛГ”, Костринське л-во, квартал 16, виділ 11, 12, 15, 17, 25, 26, 29, 31, 33;ДП “В.Березнянське ЛГ”;Розп. РМ УРСР від 14.10.1975 № 780–р, Ріш ОВК від 23.10.1984 р. № 253 (Увійшла до складу НПП “Ужанський”, Указ Презид. від 27.09.1999 р.№ 1230/99)
