№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ;
1;Рівненський парк культури і відпочинку ім.Т.Г.Шевченка;парк-пам`ятка садово-паркового мистецтва;;32;м.Рівне;Державне комунальне п-во міського об’єднання парків культури та відпочинку;Постанова колегії Держкомприроди УРСР № 14 від 25.07.1973р. (Постанова Держкомприроди УРСР № 18 від 30.08.90р.);
2;Гощанський парк;парк-пам`ятка садово-паркового мистецтва;;7;смт.Гоща;Гощанська селищна рада;Постанова колегії Держкомприроди УРСР № 22 від 26.07.1972р. (Постанова Держкомприроди УРСР № 18 від 30.08.90р.);
;Всього парків-пам`яток садово-паркового мистецтва загальнодержавного значення;2;;39;;;;
;Всього територій та об`єктів ПЗФ загальнодержавного значення;27;;64957,6;;;;
Території та об’єкти ПЗФ місцевого значення;;;;;;;;
1;Соколині гори;заказник;ландшафтний;510;Березнівський р-н Жовтневе  л-во: кв. 1, 2, 4, 5  кв.54 вид.9-16   кв. 59 вид. 1-6;" ДП „Соснівський лісгосп” ДП СЛАП ""Березнівський держспецлісгосп"",  СВСК ""Агроліс"",  Губківська сільська рада, Марининська сільська рада";Рішення облвиконкому № 343 від 22.11.83р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
2;Агатівка;заказник;ландшафтний;403;Гощанський р-н Гощанське л-во: кв. 18, 19, 20;ДП „Острозький лісгосп”;Рішення облради № 322 від 5.03.04р.;
3;Кузьмівський;заказник;ландшафтний;450;Сарненський р-н Кузьмівське л-во: кв. 13, 14, 22, 23;ДП „Березнівський лісгосп”;Рішення облради № 33 від 28.02.95р.;
4;Урочище “Каліжари”;заказник;ландшафтний;447;Сарненський р-н Малинське л-во: кв. 29-31, 36 ;ДП „Березнівський лісгосп”;Рішення облради № 33 від 28.02.95р.;
5;Урочище “Звіринець”;заказник;ландшафтний;83,8;Здолбунівський р-н кв. 42 вид. 2-12;ДП СЛАП “Здолбунівський держспецлісгосп”;Рішення облради № 584 від 27.05.05р.;
6;Північно-Мостівський;заказник;ландшафтний;18,1;Здолбунівський р-н кв. 60 вид. 26-28;ДП СЛАП “Здолбунівський держспецлісгосп”;Рішення облради № 584 від 27.05.05р.;
7;Південно-Мостівський;заказник;ландшафтний;17,7;Здолбунівський р-н Мостівське л-во: кв. 48 вид. 1-8, 10;ДП “Острозький лісгосп”;Рішення облради № 584 від 27.05.05р. (зі змінами рішення облради № 1331 від 25.09.09р.);
8;Сапожинський ліс;заказник;ландшафтний;31,9;Гощанський район Гощанське л-во: кв. 17 вид. 3, 5, 8, 9;ДП “Острозький лісгосп”;Рішення облради № 584 від 27.05.05р.;
9;Урочище “Сочута”;заказник;ландшафтний;214;Корецький район Більчаківське л-во: кв.58, 59;ДП “Соснівський лісгосп”;Рішення облради № 584 від 27.05.05р.;
10;Передільські горби;заказник;ландшафтний;25,7;Рівненський район с.Малий Шпаків;Малошпаківська сільська рада;Рішення облради № 584 від 27.05.05р.;
;Разом заказників ландшафтних;10;;2201,2;;;;
1;Більчаківський;заказник;лісовий;17;Березнівський р-н Більчаківське л-во: кв. 51 вид.21, 28, 29 ; ДП „Соснівський лісгосп”;Рішення облвикон­кому  № 343 від 22.11.83р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р. та рішення облради № 1331 від 25.09.09р.);
2;Остроганський;заказник;лісовий;168,4;"Березнівський р-н Більчаківське л-во: кв. 39 вид.1, кв. 48 вид.1, 6; кв. 49 вид.11, 21; кв. 56 вид.7,  кв. 57 вид.1, 11, 16, 17, 18";ДП „Соснівський лісгосп”;Рішення облради № 69 від 19.03.99р.;
3;Березівський;заказник;лісовий;23,7;Березнівський р-н Більчаківське л-во: кв. 11 вид.12, кв. 10 вид.13, 24;ДП „Соснівський лісгосп”;Рішення облради № 322 від 5.03.04р.;
4;Літвицький;заказник;лісовий;77,4;"Дубровицький район Літвицьке л-во: кв. 27; кв. 28 вид. 5";ДП „Дубровицький лісгосп”;Рішення облвикон­кому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р. та зі змінами облради № 69 від 19.03.1999р.);
5;Ольхава;заказник;лісовий;539;Здолбунівський район кв 67, кв. 68: вид. 1-10, 12-29, 31-33, 36-46, 51-53 кв. 69, 70, 71 вид. 14-17  кв. 72;ДП СЛАП „Здолбунівський держспецлісгосп”;Рішення облради   № 33 від 28.02.95р.;
6;Будеразький;заказник;лісовий;100;Здолбунівський район Мостівське л-во: кв. 40 ;ДП „Острозький лісгосп”;Рішення облвикон­кому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р. та рішення облради № 1331 від 25.09.09р.);
