№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ;;
12;Парк ХІХ ст.;парк-пам`ятка садово-паркового мистецтва;;3,67;Кам’янко-Бузький р-н, с. Тадані;Таданівська сільська рада;1984*;;
13;Чорний парк;парк-пам`ятка садово-паркового мистецтва;;1,74;м. Кам’яка-Бузька;Кам’янко-Бузька восьмирічна школа;1984*;;
14;Парк санаторію “Роздол”;парк-пам`ятка садово-паркового мистецтва;;6,6;Миколаївський р-н, с.м.т. Н. Роздол;Дирекція санаторію “Роздол”;1984*;;
15;Парк ХVIII ст.;парк-пам`ятка садово-паркового мистецтва;;4;Миколаївський р-н, с. Заклад;м. Миколаїв, психіатрична лікарня;1984*;;
16;Парк ХVIII ст.;парк-пам`ятка садово-паркового мистецтва;;3,8;Мостиський р-н, с. Крукеничі;природничо-технічний ліцей при УкрДЛТУ;1984*;;
17;Парк ХVIII ст.;парк-пам`ятка садово-паркового мистецтва;;4,6;Старосамбірський р-н, с. Муроване;Мурованська сільська рада;1984*;;
18;Парк ХІХ ст.;парк-пам`ятка садово-паркового мистецтва;;3;Стрийський р-н, с. Бережниця;Мурованська сільська рада;1984*;;
19;Парк курорту “Немирів”;парк-пам`ятка садово-паркового мистецтва;;26;Яворівський р-н, с.м.т. Немирів;Адміністрація курорту “Немирів”;1984*;;
20;Парк курорту “Шкло”;парк-пам`ятка садово-паркового мистецтва;;93;Яворівський р-н, с.м.т. Шкло;Адміністрація курорту “Шкло”;1984*;;
21;Парк ХІХ ст.;парк-пам`ятка садово-паркового мистецтва;;2;Яворівський р-н, с. Свидниця;Свидницька сільрада;1984*;;
22;Парк ХІХ ст.;парк-пам`ятка садово-паркового мистецтва;;2;Яворівський р-н, с. Нагачів;Нагачівська сільрада, селянська спілка;1984*;;
23;Парк ім. І.Франка;парк-пам`ятка садово-паркового мистецтва;;10,6;м. Львів;Львівський міський виробничий трест зеленого господарства;1984*;;
24;Парк “Снопківський”;парк-пам`ятка садово-паркового мистецтва;;35,66;м. Львів;Львівський міський виробничий трест зеленого господарства;1984*;;
25;Парк “Залізна Вода”;парк-пам`ятка садово-паркового мистецтва;;19,5;м. Львів;Львівський міський виробничий трест зеленого господарства;1984*;;
