№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
;«Урочище «Лупені»;заказник;ботанічний;8,9;Снятинський район, Заболотівське лісництво, кв. 23, вид. 17-19,  кв. 24, вид. 1-4;Коломийський держлісгосп;Рішення обласної ради від 15.07.93
;«Пугачівка»;заказник;ботанічний;4;Тлумацький район, с. Герасимівка;Герасимівська сільська рада;Рішення обласної ради від 15.07.93
;«Меленещина»;заказник;ботанічний;2;Тлумацький район, с. Палагичі;Палагицька сільська рада;Рішення обласної ради від 15.07.93
;Разом заказників ботанічних;23;;1317,1;;;
;«Ріка Чорний Черемош з прибережною смугою»;заказник;гідррологічний;1740;Верховинський район;Верховинська селищна рада;Розпорядження облдержадміністрації від 15.07.96 р. № 451
;«Ріка Пістинька з прибережною смугою»;заказник;гідррологічний;275;  Коломийський район; Коломийська райдержадміністрація;Розпорядження облдержадміністрації від 15.07.96 р. № 451
;«Ріка Пістинька з прибережною смугою»;заказник;гідррологічний;845;Косівський район;Косівська райдержадмінстрація;Розпорядження облдержадміністрації від 15.07.96 р. № 451
;«Ріка Рибниц з прибережною смугою»;заказник;гідррологічний;1080;Косівський район;Косівська райдержадмінстрація;Розпорядження облдержадміністрації від 15.07.96 р. № 451
;«Під Верховиною»;заказник;гідррологічний;27;Рогатинський район, с. Княгиничі;Княгиницька сільська рада;Рішення обласної ради від 28.12.99 р. № 237 – 11/99
;«Болото»;заказник;гідррологічний;6;Рогатинський район, с. Добринів;Добринівська сільська рада;Рішення обласної ради від 28.12.99 р. № 237 – 11/99
;Разом заказників гідрологічних;5;;3973;;;
;«Шевченківсь-кий»;заказник;орнітологічний;3;Долинський район, Шевченківське лісництво,  кв.9, вид.24;ДП «Вигодський держлісгосп»;Розпорядження облдержадміністрації від 15.07.96 р. № 451
;«Чотири ясени»;заказник;орнітологічний;1,8;Долинський район, Шевченківське лісництво,  кв.9, вид.24;ДП «Болехівський держлісгосп»;Рішення обласної ради від 12.03.2004.   №350-10/2004
;«Бурсуків»;заказник;орнітологічний;4;Болехівська міська рада, Болехівське лісництво, кв.50, вид.33;ДП «Болехівський держлісгосп»;Рішення обласної ради від 12.03.2004.   №350-10/2004
;«Погорілець»;заказник;орнітологічний;11,2;Болехівська міська рада, Болехівське лісництво, кв.29, вид.6;ДП «Болехівський держлісгосп»;Рішення обласної ради від 12.03.2004.   №350-10/2004
;«Підбавки»;заказник;орнітологічний;1,9;Городенківський район  с. Ясенів-Пільний;с. Ясенів-Пільний;
;Разом заказників орнітологічних;5;;21,9;;;
