№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
14.                ;Пташині острови;заказник;ботанічний;9654,36;В адмінмежах Дмитрівської, Домантівської, Коробівської сільських рад Золотоніського району;Золотоніська районна державнаадміністрація ;Ріш. Обл. ради від 28.08.09 р. № 28-8/V, Рішення Черкаської обласної ради від 21.08.2012 №17-5/VI
15.                ;Грушківський;заказник;ботанічний;1,6;Кам’янський район, кв. 39 вид. 9 Грушківського л-ва;"ДП ""Кам’янський лісгосп""";Ріш. ОВК від 12.01.82 р. № 12
16.                ;Комсомольський;заказник;ботанічний;21;Кам’янський район, кв. 3, 18, 57 Комсомольського л-ва;"ДП ""Кам’янський лісгосп""";Ріш. ОВК від 14.04.83 р. № 205
17.                ;Баранів Яр;заказник;ботанічний;2;Канівський район,с. Пшеничники;Пшеничанська сільська рада;Ріш. ОВК від 11.03.79 р. № 136
18.                ;“Ведмеже” і “Березове”;заказник;ботанічний;1,5;Канівський район,с. Курилівка;Курилівська сільська рада;Ріш. Обл. ради від 08.04.00 р. № 15-4
19.                ;"""Верболози""";заказник;ботанічний;3,5;Канівський район,с. Пекарі ;Пекарівська сільська рада;ріш. обл. ради від 03.07.02 № 2-8
20.                ;"""Гайдарове""";заказник;ботанічний;0,5;Канівський район, околиця с. Ліпляво;Ліплявська сільська рада;ріш. обл. ради від 03.07.02 № 2-8
21.                ;“Котлован”;заказник;ботанічний;0,05;Канівський район, с.Курилівка (залізничний тунель);Курилівська сільська рада;Ріш. Обл. ради від 08.04.00 р. № 15-4
22.                ;Курилівський;заказник;ботанічний;1;Канівський район, с.Курилівка;Курилівська сільська рада;Ріш. Обл. ради від 08.04.00 р. № 15-4
23.                ;Михайлівський;заказник;ботанічний;21;Канівський район, кв. 43 Михайлівського л-ва;"ДП ""Канівське ЛГ""";Ріш. ОВК від 11.03.79 р. № 136
24.                ;"""Руди""";заказник;ботанічний;3;Канівський район,с. Пшеничники ;Пшеничницька сільська рада;ріш. обл. ради від 03.07.02 № 2-8
25.                ;Кайтанівський;заказник;ботанічний;1;Катеринопільський район, кв. 68 вид. 2 Катеринопільського л-ва;ДП «Звенигородський лісгосп»;Ріш. ОВК від 12.01.82 р. № 12
26.                ;“Кучерява гора”;заказник;ботанічний;2;Корсунь-Шевченківський район, с.Квітки;Квітчанська сільська рада;Ріш. Обл. ради від 23.12.98 р. № 5-3
27.                ;Насадження ялівця;заказник;ботанічний;2;Корсунь-Шевченківський район, кв. 59, вид. 3 Корсунь-Шевченківського л-ва;"ДП ""К-Шевченківське лісове господарство""";Ріш. Обл. ради від 08.04.00 р. № 15-4
28.                ;“Підсніжник”;заказник;ботанічний;4,5;Корсунь-Шевченківський район, кв. 36, діл. 14 Квітчанського л-ва,;"ДП ""К-Шевченківське лісове господарство""";Ріш. Обл. ради від 23.12.98 р. № 5-3
29.                ;Пісківський;заказник;ботанічний;0,5;Корсунь-Шевченківський район, Стеблівська виробнича дільниця ДП «Лисянське ЛГ», кв. 12 вид. 1;"ДП ""Лисянське лІсове господарство""";Ріш. ОВК від 12.01.82 р. № 12
30.                ;Крисякове;заказник;ботанічний;8,2;В адмінмежах Дзензелівської сільської ради Маньківського району;Дзендзелівська сільська рада;Рішення ОР від 10.11.06 № 5-9/У
31.                ;Троянове;заказник;ботанічний;30,5;смт. Маньківка;Маньківська селищна рада;Ріш. Обл. ради від 21.12.07.р. № 14-19/V
32.                ;Монькове;заказник;ботанічний;48;В адмінмежах Маньківської селищної ради Маньківського району;Маньківська селищна рада;Ріш. Обл. ради від 07.08.08.р. № 20-16/V
33.                ;Трушове;заказник;ботанічний;27,2;В адмінмежах Маньківської селищної ради Маньківського району;Маньківська селищна рада;Ріш. Обл. ради від 07.08.08.р. № 20-16/V
34.                ;Орхідеї;заказник;ботанічний;1;Смілянський район, Сунківське лісництво, кв. 70, вид. 4 ;"ДП ""Смілянське лісове господарство""";Ріш. ОВК від 08.01.86 № 7
35.                ;Собківський;заказник;ботанічний;1,8;Уманський район, кв. 37 вид. 10 Собківського л-ва;"ДП ""Уманське лісове господарство""";Ріш. ОВК від 12.01.82 р. № 12
36.                ;Степківський;заказник;ботанічний;4,5;Уманський район, правий схилр. Ятрань між с. Ятранівка і с. Степівка;Степківська сільська рада;Ріш. Обл. ради від 28.04.93 р. № 14-21
37.                ;Журбинка;заказник;ботанічний;5;В адмінмежах Ятранівської сільської ради Уманського району;Фермерське господарство „Гарт”;Ріш. Обл. ради від 06.06.08 р. № 18-13/V
38.                ;Юрківський;заказник;ботанічний;3,5;Уманський район, кв. 61 вид. 7 Юрківського л-ва;"ДП ""Уманське лісове господарство""";Ріш. ОВК від 12.01.82 р. № 12
39.                ;Великосевастянівські Яри;заказник;ботанічний;91,4;В адмінмежах Великосевастянівської сільської ради Христинівського району;Великосевастянівська сільська рада;Ріш. Обл. ради від 28.12.2010  № 3 - 11/VI
40.                ;«Кам’яний яр»;заказник;ботанічний;14,2;В адмінмежах Ботвинівської сільської ради Христинівського району;Ботвинівська сільська рада;Ріш. Обл. ради від 26.12.08 № 23-13/V
41.                ;«Красноставське»;заказник;ботанічний;91,3;В адмінмежах Ботвинівської сільської ради Христинівського району;Ботвинівська сільська рада;Ріш. Обл. ради від 26.12.08 № 23-13/V
