№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
3;Боргиня;заказник;лісовий;470;Путильський район:ДП «Путильський лісгосп»Плосківське л-во кв. 1-4 ;ДП «Путильський лісгосп»;Рішення облвиконкому від 17.10.84№ 216 
4;Зарожанськадача;заказник;лісовий;129;Хотинський район:ДП «Хотинський лісгосп»Клішківське лісництвокв. 39 вид.6, 7кв. 46 вид. 2,3,  кв. 50 вид. 2;ДП «Хотинський лісгосп»;Рішення 6-ї сесії обласної ради ХХІІІ скликання від 10.03.99№ 14-6/99 
5;Словач;заказник;лісовий;4,6;Герцаївський район, ДП «Герцаївське держспецлісництво АПК», кв.37, л.д.7 ;ДП «Герцаївське держспецлісництво АПК»;Рішення 22-ї сесії обласної ради V скликання від 24.09.08 № 229-22/08
6;Монастирський ліс;заказник;лісовий;39;Герцаївський район, ДП «Герцаївське держспецлісництво АПК», кв.5, л.д.1-10, урочище «Банчени»;ДП «Герцаївське держспецлісництво АПК»;"Рішення облвиконкому від 30.05.79  № 198; рішення 22-ї сесії обласної ради V скликання від 24.09.08 № 229-22/08"
;Разом заказників лісових;6;;860,6;;;
1;Білка;заказник;ботанічний;19,8;Сторожинецький район:Сторожинецький держспецлісгосп АПККомарівське лісництвокв.17 вид. 1-5;Сторожинецький держспецлісгосп  АПК;Рішення 2-ї сесії обласної ради XXII скликання від 16.12.94
2;Мальованка;заказник;ботанічний;24,9;Сторожинецький район с. Заволока;Кам’янська сільська рада;Рішення облвиконкому від 16.01.91 № 22, рішення 6-ї сесії обласної ради ХХІІІ скликання від 10.03.99№ 14-6/99
3;Брендуша;заказник;ботанічний;6;Герцаївський районс. Тернавка;Тернавська сільська рада;Рішення 2-ї сесії обласної ради XXII скликання від 16.12.94, рішення 6-ї сесії обласної ради ХХІІІ скликання від 10.03.99№ 14-6/99 
4;Анкер;заказник;ботанічний;8;Герцаївський районс. Тернавка;Тернавська сільська рада;Рішення сесії обласної ради від 21.12.93,  рішення 6-ї сесії обласної ради ХХІІІ скликання від 10.03.99№ 14-6/99 
5;Мальовничадіброва;заказник;ботанічний;24,2;Кіцманський районДП «Кіцманський ліс АПК,Кіцманське лісництво, кв.2, л.д.2,3;ДП «Кіцманський ліс АПК;Рішення 29-ї сесії обласної ради V скликання від 17.06.09 № 148-29/09
;Разом заказників ботанічних;5;;82,9;;;
