№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
40; „Річицький»;заказник;гідрологічний;1 046,80;Ратнівський р-н, с.Річиця;Річицька сільська рада;Рішення облради від 17.03.94 № 17/19
41; „Оріхівський»;заказник;гідрологічний;824;Ратнівський р-н, с.Межисить, с.Залісся;Межиситівська, Оріхівська сільські ради;Розпорядження облдержадміністрації від 16.10.96 № 551
42; „Озеро Чисте»;заказник;гідрологічний;58;Ратнівський р-н, с.Броди;Гірницька сільська рада;Розпорядження облради від 3.03.93 № 18-р
43; „Озерця»;заказник;гідрологічний;661;Ратнівський р-н, ДП „Ратнівське ЛМГ”;ДП „Ратнівське ЛМГ”;Розпорядження облради від 3.03.93 № 18-р Рішення облради від 30.05.2000 № 12/3
44; „Залухівський»;заказник;гідрологічний;839,4;Ратнівський р-н, с.Залухів;Залухівська сільска рада;Розпорядження облради від 3.03.93 № 18-р
45; „Щедрогірський»;заказник;гідрологічний;700;Ратнівський р-н, с.Щедрогір;Щедрогірська сільська рада;Рішення облвиконкому від 4.09.85 № 301
46; „Озеро Радожичі»;заказник;гідрологічний;109,7;Ратнівський р-н, с.Гірники;Гірницька сільська рада;Розпорядження облдержадміністрації від 16.10.96 № 551
47; „Озеро Любовель»;заказник;гідрологічний;181,5;Ратінвський р-н, с.Млинове, с.Кортеліси;Млинівська, Кортеліська сільські ради;Рішення облради від 18.08.2000 № 13/6
48; „Озеро Дошне»;заказник;гідрологічний;29,2;Ратнівський р-н, с.Дошне;Велимченська сільська рада;Рішення облради від 9.12.2000 № 4/3
49; „Урочище Озеро»;заказник;гідрологічний;100;Рожищенський р-н, ;Ворончиська сільська рада;Рішення облвиконкому від 4.09.85 № 301
50; „Гурсько-Гривенський»;заказник;гідрологічний;145,2;Рожищенський р-н, ;Навізська сільська рада;Рішення облвиконкому від 31.10.91 № 226
51; „Падалівський»;заказник;гідрологічний;181;Рожищенський р-н, ;Рильська сільська рада;Рішення облвиконкому від 4.09.85 № 301
52; „Надстирський»;заказник;гідрологічний;125;Рожищенський р-н, ;Крижівська сільська рада;Рішення облвиконкому від 4.09.85 № 301
53; „Вижівський»;заказник;гідрологічний;1 645,00;Старовижівський р-н, ;Нововижівська сільська рада;Рішення облради від 17.03.94 № 17/19
54; „Озеро Олеандра»;заказник;гідрологічний;31,4;Турійський р-н, с.Новий Двір;Новодвірська сільська рада;Рішення облради від 30.05.2000 № 12/3
55; „Озеро Святе»;заказник;гідрологічний;19,2;Турійський р-н, с.Дольськ;Дольська сільська рада;Рішення облради від 30.05.2000 № 12/3
56; „Озеро Велике»;заказник;гідрологічний;16;Турійський р-н, с.Овлочин;Овлочинська сільська рада ;Розпорядження облради від 3.03.93 № 18-р
57; „Пулемецький»;заказник;гідрологічний;519,4;Шацький р-н, с.Пулемець;Пулемецька сільська рада, КСП «Приозерне»;Рішення облради від 30.05.2000 № 12/3
58; „Піщанський»;заказник;гідрологічний;420,5;Шацький р-н, с.Піща;Піщанська сільська рада;Рішення облради від 3.12.02 № 4/5
59; „Озеро Поворське»;заказник;гідрологічний;24,6;Ковельський р-н, СЛАП «Тур», Поворське л-во;СЛАП «Тур»;Рішення облради від 29.04.05 № 19/27
60; „Озеро Болотне»;заказник;гідрологічний;9,5;Маневецький р-н, Троянівська с/р;СЛАП «Тур»;Рішення облради від31.07.2014 № 27/64
61; „Озерця»;заказник;гідрологічний;36,3;Ратнівський р-н, ДП „Ковельське  ЛГ”;Замшанське лісництво;Рішення облради від 30.05.2000 № 12/3
;Разом заказників гідрологічних;61;;24 255,10;;;
;Всього заказників місцевого значення;206;;90 813,05;;;
