№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
2;Заплави р. Самара;заказник;орнітологічний;-;с. Зелений Гай Петропавлівського району;Петропавлівська райдержадміністрація;Рішення облвиконкому 17.12.1990 №469
3;Заплави р.Базавлук;заказник;орнітологічний;-;с. Ленінське Апостолівського району;Апостолівська райдержадміністрація;Рішення облвиконкому 17.12.1990 №469
;Разом заказників орнітологічних;3;;144;;;
1;Новостепанівський;заказник;ентомологічний;245;Між селами Новостепанівка та  Івано-Михайлівка Новомосковського району;Новомосковська райдержадміністрація;Рішення облвиконкому 14.10.1982 №654
2;Покровський;заказник;ентомологічний;30,6;смт. Покровське;ТОВ «Родіна»;Рішення облвиконкому 14.10.1982 №654
3;Топчинський;заказник;ентомологічний;85,5;с. Топчине Магдалинівського району;Магдалинівська райдержадміністрація;Рішення облвиконкому 14.10.1982 №654 /зміни розпорядження 19.12.1995 №50-Р/
4;Шандрівський;заказник;ентомологічний;101;с. Шандрівка  Юр’ївського району ;Юр’ївська райдержадміністрація;Рішення облвиконкому 14.10.1982 №654 /зміни розпорядження 19.12.1995 №50-Р/
;Разом заказників ентомологічних;4;;462,1;;;
1;Новоселiвський лиман;заказник;загально- зоологічні;287;с. Новоселівка  Новомосковського району;Новомосковська райдержадміністрація;Рішення облвиконкому 09.06.1988 №231 /зміни розпорядження 19.12.1995 №50-Р
;Разом заказників ентомологічних;1;;287;;;
1;Балка Велика Осокорівка;заказник;іхтіологічний;2000;с. Варварівка  Синельниківського району;Синельниківська райдержадміністрація;Рішення облвиконкому 14.10.1982 №654
2;Балка Ворона;заказник;іхтіологічний;422;с. Мар’ївка  Синельниківського району;Синельниківська райдержадміністрація;Рішення облвиконкому 07.12.1985 №703 /зміни розпорядження 19.12.1995 №50-Р
;Разом заказників іхтіологічних;2;;2422;;;
1;Озеро Довге;заказник;гідрологічний;22;с. Бабайківка Царичанського району;Царичанська райдержадміністрація;Рішення облвиконкому 09.10.1979 №568 /зміни розпорядження 19.12.1995 №50-Р 
;Разом заказників гідрологічних;1;;22;;;
;Всього заказників місцевого значення;80;;47026,5;;;
1;Ділянка тополевих насаджень;пам`ятка природи ;ботанічна;5;В 1 км північно-західніше  с. Сухачівка Ленінського району  м. Дніпропетровська Ленінське лісництво кв.16, діл.3;Дніпропетровський держлісгосп;Рішення облвиконкому 26.05.1977 №346
2;Ділянка дубових насаджень;пам`ятка природи ;ботанічна;1,8;В північній частині с. Таромське Ленінського району  м. Дніпропетровська Ленінське лісництво кв.33, діл.6;Дніпропетровський держлісгосп;Рішення облвиконкому 26.05.1977 №346
3;Дерево культурної груші;пам`ятка природи ;ботанічна;0,03;м. Кривий Ріг;Виконком Криворізької міськради ;Рішення облвиконкому 17.12.1990 №469
4;Павлівський ліс;пам`ятка природи ;ботанічна;5;Біля с. Василівка Дніпропетровського району;"Навчально-дослідне господарство ""Самарський""";Рішення облвиконкому 22.06.1972 №391
5;Ділянка соснових насаджень;пам`ятка природи ;ботанічна;5;с. Степанівка Магдалинівського району Котовське лісництво, кв.18, діл.17 ;Новомосковський держлісгосп;Рішення облвиконкому 26.05.1977  №346
6;Зразкова лісосмуга;пам`ятка природи ;ботанічна;0,9;с. Славне  Межівського району;Межівська райдержадміністрація;Рішення облвиконкому 28.11.74 №687
7;Поодиноко стоячі віковічні сосни;пам`ятка природи ;ботанічна;0,4;Новомосковське лісництво кв.30;Новомосковський  держлісгосп;Рішення облвиконкому 22.06.1972 №391
8;Орлівщанські дубові насадження;пам`ятка природи ;ботанічна;5,4;с. Орловщина Новомосковського району Новомосковське лісництво кв.15, діл.15;Новомосковський держлісгосп;Рішення облвиконкому 22.06.1972 №391
9;Високопродуктивні дубові насадження;пам`ятка природи ;ботанічна;4,7;с. Хащове Новомосковського району Новомосковське лісництво кв.13, діл.15;Новомосковський держлісгосп;Рішення облвиконкому 26.05.1977 №346
10;Високопродуктивні дубові насадження;пам`ятка природи ;ботанічна;7,1;с. Хащове Новомосковського району Новомосковське лісництво кв.13,діл.7;Новомосковський держлісгосп;Рішення облвиконкому 26.05.1977  №346
11;Дуб пам’яті Леніна;пам`ятка природи ;ботанічна;0,1;На околиці с. Василівка Новомосковського району кв.56, діл.22;Новомосковський військлісгосп ;Рішення облвиконкому 22.06.1972 №391
12;Віковий дуб;пам`ятка природи ;ботанічна;0,5;Південно-західна околиця  с. Андріївка Новомосковського району кв.14, діл.16;Новомосковський військлісгосп ;Рішення облвиконкому 22.06.1972 №391
13;Вільнянські вікові дуби;пам`ятка природи ;ботанічна;0,5;Між селами Вільне та Гвардійське Новомосковського району Новомосковський військлісгосп кв.200, діл.2;Новомосковський військлісгосп;Рішення облвиконкому 22.06.1972 №391
14;Орлівщанські віковічні сосни;пам`ятка природи ;ботанічна;3;Новомосковський район Новомосковське лісництво, кв.30;Новомосковський держлісгосп;Рішення облвиконкому 22.06.1972 №391
15;Сторічні дубові насадження природного походження;пам`ятка природи ;ботанічна;7;Новомосковський район  Новомосковський  військлісгосп  кв.190, діл.11;Новомосковський  військлісгосп  ;Рішення облвиконкому 22.06.1972 №391
16;Сторічні дубові насадження природного походження;пам`ятка природи ;ботанічна;1,9;Новомосковський район Новомосковський військлісгоспкв.191, діл.12 ;Новомосковський військлісгосп ;Рішення облвиконкому 22.06.1972  №391
